pixel_x;pixel_y;field_x;field_y
290;116;-200;-200
306;115;-150;-200
327;118;-100;-200
350;130;-50;-200
374;141;0;-200
396;158;50;-200
412;176;100;-200
422;187;150;-200
432;204;200;-200
274;124;-200;-150
294;125;-150;-150
316;126;-100;-150
341;137;-50;-150
367;154;0;-150
392;170;50;-150
409;189;100;-150
420;204;150;-150
430;221;200;-150
262;134;-200;-100
275;138;-150;-100
298;143;-100;-100
328;155;-50;-100
356;173;0;-100
384;192;50;-100
404;209;100;-100
418;226;150;-100
429;242;200;-100
244;151;-200;-50
257;155;-150;-50
277;162;-100;-50
307;173;-50;-50
344;191;0;-50
375;217;50;-50
393;238;100;-50
408;252;150;-50
417;263;200;-50
227;173;-200;0
237;181;-150;0
256;193;-100;0
279;205;-50;0
319;229;0;0
359;257;50;0
381;269;100;0
395;278;150;0
407;285;200;0
213;196;-200;50
224;208;-150;50
239;224;-100;50
259;243;-50;50
291;272;0;50
331;290;50;50
360;298;100;50
378;302;150;50
393;306;200;50
203;219;-200;100
214;234;-150;100
227;251;-100;100
250;272;-50;100
278;293;0;100
312;310;50;100
338;317;100;100
360;321;150;100
375;323;200;100
202;242;-200;150
210;256;-150;150
224;273;-100;150
244;292;-50;150
271;310;0;150
296;322;50;150
321;330;100;150
341;335;150;150
362;336;200;150
197;258;-200;200
210;272;-150;200
223;289;-100;200
239;305;-50;200
265;321;0;200
285;332;50;200
310;340;100;200
330;343;150;200
344;347;200;200
