Index,X,Y
1,278,45
2,303,46
3,334,52
4,369,67
5,406,85
6,436,111
7,460,137
8,478,164
9,492,182
10,254,59
11,279,58
12,311,64
13,352,79
14,393,103
15,430,136
16,457,158
17,476,182
18,490,210
19,225,77
20,249,80
21,285,86
22,328,105
23,374,133
24,419,164
25,450,194
26,471,220
27,486,241
28,198,100
29,221,105
30,251,122
31,296,138
32,354,164
33,404,204
34,433,237
35,460,260
36,474,275
37,175,135
38,187,146
39,219,165
40,256,186
41,314,224
42,378,265
43,412,286
44,435,301
45,454,310
46,153,173
47,167,189
48,194,216
49,223,247
50,276,291
51,339,319
52,382,329
53,409,337
54,430,342
55,141,207
56,153,231
57,175,257
58,209,291
59,255,325
60,306,349
61,347,360
62,380,365
63,406,370
64,134,238
65,148,261
66,170,291
67,199,321
68,240,352
69,284,371
70,322,382
71,352,388
72,381,388
73,135,266
74,149,291
75,166,316
76,194,342
77,230,366
78,268,385
79,302,395
80,333,400
81,358,401
