Index,X,Y
1,290,116
2,306,115
3,327,118
4,350,130
5,374,141
6,396,158
7,412,176
8,422,187
9,432,204
10,274,124
11,294,125
12,316,126
13,341,137
14,367,154
15,392,170
16,409,189
17,420,204
18,430,221
19,262,134
20,275,138
21,298,143
22,328,155
23,356,173
24,384,192
25,404,209
26,418,226
27,429,242
28,244,151
29,257,155
30,277,162
31,307,173
32,344,191
33,375,217
34,393,238
35,408,252
36,417,263
37,227,173
38,237,181
39,256,193
40,279,205
41,319,229
42,359,257
43,381,269
44,395,278
45,407,285
46,213,196
47,224,208
48,239,224
49,259,243
50,291,272
51,331,290
52,360,298
53,378,302
54,393,306
55,203,219
56,214,234
57,227,251
58,250,272
59,278,293
60,312,310
61,338,317
62,360,321
63,375,323
64,202,242
65,210,256
66,224,273
67,244,292
68,271,310
69,296,322
70,321,330
71,341,335
72,362,336
73,197,258
74,210,272
75,223,289
76,239,305
77,265,321
78,285,332
79,310,340
80,330,343
81,344,347
